underlying,close,quote_date
A,41.879999,2013-01-02
A,42.029999,2013-01-03
A,42.86,2013-01-04
A,42.550001,2013-01-07
A,42.209999,2013-01-08
A,43.349999,2013-01-09
A,43.67,2013-01-10
A,43.430001,2013-01-11
A,43.539999,2013-01-14
A,43.239999,2013-01-15
A,43.05,2013-01-16
A,43.869999,2013-01-17
A,44.15,2013-01-18
A,44.639999,2013-01-22
A,44.3,2013-01-23
A,44.66,2013-01-24
A,45.290003,2013-01-25
A,45.18,2013-01-28
A,44.639999,2013-01-29
A,44.4,2013-01-30
A,44.780002,2013-01-31
