date,kappa,theta,sigma_v,rho,v0,rmse,n_options
2023-01-03,0.0001,1e-06,3.0,-0.8020882736404512,1e-06,1.689779827238577,1368
2023-01-10,0.16829584035681622,1e-06,3.0,0.999,1e-06,1.580066806292334,1507
2023-01-18,0.0001,1e-06,3.0,0.999,1e-06,1.600243205177861,1538
2023-01-25,0.7095689240784527,1e-06,1.6990026766846809,-0.12434882763066692,1e-06,1.679390082680612,1585
