contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,mid,T,r
A130119C00048000,A,2013-01-19,call,48.0,A,0.0,,0.03,,0,74,2013-01-02,0.0018,0.003,-0.1287,0.0522,0.2201,0.015,0.04657534246575343,0.1
A130119C00049000,A,2013-01-19,call,49.0,A,0.0,,0.03,,0,128,2013-01-02,0.0004,0.0008,-0.0323,0.0131,0.2201,0.015,0.04657534246575343,0.1
A130119C00050000,A,2013-01-19,call,50.0,A,0.0,,0.03,,0,2270,2013-01-02,0.0001,0.0002,-0.0069,0.0028,0.2201,0.015,0.04657534246575343,0.1
A130119C00052500,A,2013-01-19,call,52.5,A,0.0,,0.03,,0,1074,2013-01-02,0.0,0.0,-0.0001,0.0,0.2201,0.015,0.04657534246575343,0.1
A130119C00055000,A,2013-01-19,call,55.0,A,0.0,,0.02,,0,2061,2013-01-02,0.0,0.0,0.0,0.0,0.2201,0.01,0.04657534246575343,0.1
A130119C00057500,A,2013-01-19,call,57.5,A,0.0,,0.02,,0,104,2013-01-02,0.0,0.0,0.0,0.0,0.2201,0.01,0.04657534246575343,0.1
A130119C00060000,A,2013-01-19,call,60.0,A,0.0,,0.02,,0,236,2013-01-02,0.0,0.0,0.0,0.0,0.2201,0.01,0.04657534246575343,0.1
A130119C00065000,A,2013-01-19,call,65.0,A,0.0,,0.02,,0,425,2013-01-02,0.0,0.0,0.0,0.0,0.2201,0.01,0.04657534246575343,0.1
A130119C00070000,A,2013-01-19,call,70.0,A,0.0,,0.02,,0,284,2013-01-02,0.0,0.0,0.0,0.0,0.2201,0.01,0.04657534246575343,0.1
A130216C00018000,A,2013-02-16,call,18.0,A,21.65,,25.45,,0,0,2013-01-02,1.0,0.0,-0.0545,0.0,0.3129,23.549999999999997,0.1232876712328767,0.1
A130216C00019000,A,2013-02-16,call,19.0,A,20.65,,24.4,,0,0,2013-01-02,1.0,0.0,-0.0575,0.0,0.3129,22.525,0.1232876712328767,0.1
A130216C00020000,A,2013-02-16,call,20.0,A,19.75,,23.4,,0,0,2013-01-02,1.0,0.0,-0.0605,0.0,0.3129,21.575,0.1232876712328767,0.1
A130216C00021000,A,2013-02-16,call,21.0,A,18.65,,22.45,,0,0,2013-01-02,1.0,0.0,-0.0636,0.0,0.3129,20.549999999999997,0.1232876712328767,0.1
A130216C00022000,A,2013-02-16,call,22.0,A,17.7,,21.5,,0,0,2013-01-02,1.0,0.0,-0.0667,0.0,0.3129,19.6,0.1232876712328767,0.1
A130216C00023000,A,2013-02-16,call,23.0,A,17.75,,20.4,,0,0,2013-01-02,1.0,0.0,-0.0696,0.0,0.3129,19.075,0.1232876712328767,0.1
A130216C00024000,A,2013-02-16,call,24.0,A,16.8,,18.2,,0,0,2013-01-02,1.0,0.0,-0.0727,0.0,0.3129,17.5,0.1232876712328767,0.1
A130216C00025000,A,2013-02-16,call,25.0,A,15.6,,17.0,,0,0,2013-01-02,1.0,0.0,-0.0759,0.0001,0.3129,16.3,0.1232876712328767,0.1
A130216C00026000,A,2013-02-16,call,26.0,A,14.65,,16.0,,0,0,2013-01-02,1.0,0.0,-0.0791,0.0002,0.3129,15.325,0.1232876712328767,0.1
A130216C00027000,A,2013-02-16,call,27.0,A,13.6,,15.0,,0,0,2013-01-02,1.0,0.0,-0.0835,0.0014,0.3129,14.3,0.1232876712328767,0.1
